EmployeeID,Age,Gender,Department,JobRole,Education,MonthlyIncome,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,JobSatisfaction,WorkLifeBalance,Overtime,DistanceFromHome,Attrition
1,35,Male,Research & Development,Research Scientist,Bachelor's,5820,10,7,8,3,3,No,11,No
2,22,Female,Sales,Sales Representative,Bachelor's,2960,1,0,1,2,2,Yes,12,No
3,48,Male,Finance,Financial Analyst,Master's,8450,20,5,12,4,3,No,3,No
4,34,Male,IT,Software Engineer,Bachelor's,7210,9,4,6,3,4,No,12,No
5,60,Female,Human Resources,HR Specialist,Master's,9100,30,8,18,4,4,No,6,No
6,27,Female,Sales,Sales Executive,Bachelor's,4120,5,2,3,1,2,Yes,22,Yes
7,31,Male,Research & Development,Laboratory Technician,Bachelor's,3680,8,3,6,2,3,No,8,No
8,25,Female,IT,IT Support,High School,3150,3,1,2,3,3,Yes,18,No
9,42,Male,Research & Development,Research Director,PhD,14500,19,7,15,4,4,No,5,No
10,29,Female,Sales,Manager,Master's,8750,7,2,5,2,3,Yes,25,Yes
11,38,Male,Finance,Accountant,Bachelor's,5340,12,5,9,3,3,No,7,No
12,24,Female,Human Resources,HR Executive,Bachelor's,3390,2,0,1,2,2,Yes,21,Yes
13,45,Male,IT,IT Manager,Master's,11200,23,9,14,4,4,No,4,No
14,33,Female,Research & Development,Research Scientist,Master's,6240,11,4,9,3,3,No,15,No
15,26,Male,Sales,Sales Representative,High School,3020,4,1,2,1,2,Yes,28,Yes
16,51,Female,Finance,Finance Manager,Master's,12400,27,6,20,4,4,No,9,No
17,30,Male,IT,Software Engineer,Bachelor's,6980,7,3,5,3,3,No,10,No
18,23,Female,Sales,Sales Executive,Bachelor's,3850,2,0,1,2,1,Yes,24,Yes
19,41,Male,Research & Development,Laboratory Technician,Bachelor's,4210,15,6,10,3,3,No,6,No
20,36,Female,Human Resources,HR Specialist,Master's,5980,13,4,8,4,3,No,13,No
