EmployeeID,Age,Gender,Department,JobRole,Education,MonthlyIncome,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,JobSatisfaction,WorkLifeBalance,Overtime,DistanceFromHome,Attrition
1,35,Male,Research & Development,Research Scientist,Master's,13784,10,4,7,3,2,Yes,11,No
2,22,Female,Human Resources,HR Specialist,Bachelor's,4933,3,1,1,4,4,Yes,12,No
3,48,Male,Research & Development,Research Director,Bachelor's,4399,27,2,15,3,4,No,3,No
4,34,Male,Sales,Sales Executive,Master's,12055,8,1,4,4,3,No,12,No
5,60,Male,Research & Development,Laboratory Technician,Master's,14153,3,1,1,2,2,No,29,No
6,51,Female,Research & Development,Laboratory Technician,Master's,14490,14,5,7,4,1,No,21,No
7,49,Female,Research & Development,Research Scientist,High School,10506,14,0,12,1,4,No,8,No
8,53,Female,Human Resources,Manager,Bachelor's,17853,4,0,1,1,4,No,8,Yes
9,55,Female,Research & Development,Research Scientist,Bachelor's,17448,21,0,2,3,2,No,5,No
10,35,Female,Sales,Manager,Bachelor's,3363,9,2,2,3,1,No,4,No
11,56,Female,Research & Development,Research Scientist,Master's,14006,12,2,6,2,4,No,13,No
12,31,Male,Finance,Finance Manager,Bachelor's,8092,9,3,6,3,2,Yes,25,No
13,26,Female,IT,IT Manager,PhD,6913,7,0,2,1,1,Yes,12,No
14,32,Male,Research & Development,Research Scientist,Bachelor's,10054,13,1,6,1,1,No,17,No
15,52,Female,Sales,Sales Executive,Bachelor's,14166,32,0,0,2,2,No,26,No
16,37,Female,Sales,Manager,Master's,10277,5,3,4,2,2,No,16,No
17,23,Female,Sales,Sales Executive,Master's,16743,3,2,3,3,2,No,19,No
18,38,Male,Human Resources,Manager,Master's,4302,7,0,0,4,1,Yes,23,Yes
19,22,Male,Research & Development,Laboratory Technician,Bachelor's,7923,0,0,0,2,4,No,27,No
20,40,Female,Human Resources,Manager,Master's,14683,21,0,0,4,3,No,4,No
21,55,Female,Research & Development,Research Scientist,Master's,14469,24,1,17,2,3,No,9,No
22,23,Female,Research & Development,Research Director,Bachelor's,7235,0,0,0,1,4,Yes,19,Yes
23,28,Male,IT,IT Support,Bachelor's,7393,10,1,10,1,4,No,1,No
24,37,Male,Research & Development,Research Scientist,Bachelor's,13257,11,4,11,3,4,Yes,24,No
25,41,Male,IT,IT Support,Master's,5827,22,0,0,3,4,No,10,No
26,52,Male,Sales,Sales Representative,Bachelor's,2654,21,0,1,2,2,No,8,No
27,46,Female,Research & Development,Laboratory Technician,Master's,13147,2,0,1,1,4,No,25,No
28,32,Male,Human Resources,HR Specialist,Bachelor's,15903,2,2,2,2,2,No,22,No
29,42,Female,Research & Development,Laboratory Technician,Master's,6354,16,5,9,2,3,Yes,1,No
30,52,Female,Research & Development,Laboratory Technician,Master's,9466,29,2,14,4,4,Yes,18,Yes
31,48,Male,Research & Development,Research Director,High School,10808,25,1,4,2,3,No,12,No
32,45,Female,Research & Development,Laboratory Technician,Master's,15684,7,4,4,4,1,No,5,Yes
33,57,Male,Research & Development,Research Director,Bachelor's,13810,21,4,13,1,2,No,20,Yes
34,56,Male,Research & Development,Research Director,High School,9165,32,1,4,2,1,No,20,No
35,24,Female,Research & Development,Research Scientist,Bachelor's,11587,6,0,1,4,3,No,12,Yes
36,57,Male,Finance,Accountant,Bachelor's,8036,11,0,2,4,2,Yes,29,No
37,55,Female,Sales,Sales Representative,Bachelor's,11467,22,9,16,1,2,No,30,No
38,31,Male,Human Resources,HR Specialist,Master's,3228,12,3,7,1,1,No,10,No
39,59,Male,IT,Software Engineer,Bachelor's,5940,31,3,4,3,1,No,3,No
40,42,Female,Research & Development,Research Scientist,Bachelor's,17012,12,2,10,4,4,No,19,No
41,36,Female,Human Resources,Manager,Master's,17783,4,0,2,3,1,No,23,Yes
42,34,Male,Research & Development,Research Director,Master's,11424,4,2,2,3,3,Yes,12,No
43,33,Male,Sales,Manager,Bachelor's,13685,7,0,1,3,2,Yes,29,No
44,37,Male,IT,Software Engineer,Bachelor's,3824,6,0,0,4,4,No,19,No
45,59,Female,Sales,Manager,Master's,7248,2,0,0,2,4,No,20,No
46,33,Female,Human Resources,Manager,High School,10076,11,0,8,4,1,Yes,6,No
47,36,Male,Sales,Sales Executive,Bachelor's,11942,10,3,4,3,4,Yes,15,No
48,23,Female,IT,Software Engineer,Bachelor's,9614,0,0,0,4,2,No,8,No
49,28,Female,Sales,Sales Representative,High School,13471,9,1,1,1,1,Yes,27,Yes
50,48,Male,Research & Development,Research Scientist,Master's,5824,15,2,12,2,2,No,5,No
51,25,Male,IT,IT Manager,Bachelor's,15161,6,0,0,1,2,No,17,No
52,33,Female,IT,IT Manager,High School,4133,0,0,0,1,3,Yes,21,No
53,58,Male,Research & Development,Research Scientist,Bachelor's,9690,2,0,0,1,1,No,10,No
54,33,Male,Sales,Manager,Master's,7476,3,0,1,4,4,Yes,8,No
55,32,Male,Finance,Accountant,Bachelor's,3577,0,0,0,4,1,Yes,27,No
56,41,Female,Research & Development,Research Scientist,Bachelor's,7030,13,0,1,3,2,No,2,No
57,54,Female,Research & Development,Research Director,Master's,5677,32,6,14,3,1,No,4,No
58,54,Male,Sales,Sales Executive,Bachelor's,6800,5,1,4,2,3,No,11,No
59,36,Male,Research & Development,Research Director,Master's,13639,7,3,3,4,1,No,3,No
60,41,Male,Sales,Manager,Bachelor's,7277,4,1,1,1,2,Yes,1,Yes
61,46,Female,Research & Development,Laboratory Technician,Master's,9437,12,8,10,1,3,No,15,No
62,56,Male,Sales,Sales Representative,Bachelor's,12747,0,0,0,1,3,Yes,15,No
63,34,Male,Research & Development,Research Director,Master's,9309,1,0,0,2,3,Yes,7,No
64,38,Female,Research & Development,Research Scientist,Bachelor's,5586,5,2,2,4,1,No,28,No
65,45,Female,Sales,Sales Representative,High School,8668,16,3,12,4,2,No,13,No
66,39,Female,Research & Development,Research Scientist,Bachelor's,16329,9,4,8,4,2,No,27,No
67,42,Female,IT,IT Support,Master's,8122,20,5,5,4,4,No,30,Yes
68,51,Female,Finance,Accountant,Bachelor's,11159,23,1,5,4,3,No,6,No
69,22,Female,Human Resources,HR Executive,Bachelor's,8816,2,0,1,4,1,Yes,22,No
70,21,Male,Sales,Manager,Bachelor's,12265,1,1,1,1,2,Yes,4,Yes
71,25,Male,Research & Development,Laboratory Technician,Master's,9541,6,1,1,1,4,No,1,No
72,55,Female,Research & Development,Laboratory Technician,PhD,17153,29,4,16,4,4,No,21,No
73,60,Male,Research & Development,Research Scientist,Bachelor's,11564,21,2,7,1,2,No,3,No
74,24,Male,Research & Development,Laboratory Technician,Master's,16560,0,0,0,2,1,No,8,No
75,43,Female,Research & Development,Research Scientist,High School,5212,14,0,0,1,1,No,2,Yes
76,26,Male,Research & Development,Laboratory Technician,Bachelor's,10635,2,2,2,2,4,Yes,15,No
77,58,Female,Research & Development,Research Scientist,Bachelor's,3450,32,2,4,1,2,Yes,2,No
78,51,Female,Sales,Sales Executive,Master's,16850,23,7,19,1,4,Yes,15,No
79,56,Female,Research & Development,Research Director,Bachelor's,4616,35,10,10,4,3,No,8,No
80,32,Male,Research & Development,Research Director,Master's,13973,9,5,7,1,1,Yes,28,No
81,28,Male,Human Resources,HR Executive,High School,11295,9,0,0,3,2,Yes,19,No
82,57,Male,IT,IT Support,Bachelor's,11897,20,3,13,3,1,No,22,No
83,29,Male,Research & Development,Research Scientist,Master's,6712,9,0,3,2,1,Yes,20,No
84,54,Male,Research & Development,Research Director,Bachelor's,11646,26,10,16,4,3,Yes,24,No
85,49,Male,IT,IT Support,PhD,5213,30,5,10,4,2,No,7,No
86,60,Female,Research & Development,Research Director,Master's,4259,6,0,0,1,2,No,27,Yes
87,49,Female,Sales,Sales Executive,Bachelor's,9686,29,7,15,2,1,No,15,No
88,24,Female,Research & Development,Laboratory Technician,Master's,5835,0,0,0,1,3,No,10,No
89,48,Male,Finance,Accountant,Master's,13771,17,4,6,1,1,Yes,24,Yes
90,57,Female,Sales,Manager,Bachelor's,6175,2,0,2,3,4,Yes,24,No
91,41,Male,IT,IT Support,Bachelor's,8650,13,1,6,2,3,No,21,No
92,22,Male,Research & Development,Laboratory Technician,Bachelor's,17650,0,0,0,1,4,No,2,No
93,50,Female,Research & Development,Laboratory Technician,High School,9583,8,0,1,3,4,No,12,No
94,52,Female,IT,IT Manager,Master's,5099,16,8,16,2,1,No,9,No
95,54,Male,Sales,Sales Executive,Bachelor's,9481,22,2,4,2,4,Yes,4,No
96,32,Male,Research & Development,Laboratory Technician,Bachelor's,2841,6,1,4,1,3,No,6,No
97,30,Female,Human Resources,Manager,Bachelor's,5469,12,0,0,1,4,No,14,No
98,56,Male,Sales,Sales Executive,Bachelor's,7915,25,10,20,3,4,No,27,No
99,42,Female,Research & Development,Laboratory Technician,High School,12477,4,0,0,4,3,Yes,3,No
100,29,Male,Research & Development,Laboratory Technician,Master's,4620,9,0,1,1,4,No,25,No
101,57,Male,Sales,Manager,Bachelor's,9167,29,1,5,3,1,Yes,27,No
102,32,Female,Research & Development,Research Director,Master's,8395,13,2,7,3,1,No,5,No
103,46,Female,IT,IT Manager,Bachelor's,14682,8,0,6,2,1,No,7,No
104,43,Male,Sales,Sales Representative,Bachelor's,6997,17,2,6,3,2,No,14,No
105,57,Male,Research & Development,Research Director,Master's,10194,25,6,11,4,1,No,22,No
106,22,Female,Research & Development,Laboratory Technician,Master's,13153,2,1,1,3,3,Yes,18,Yes
107,49,Female,Sales,Sales Executive,Bachelor's,2771,29,8,20,4,4,No,10,No
108,23,Male,Human Resources,HR Specialist,PhD,2645,4,1,1,2,1,Yes,1,No
109,57,Female,Research & Development,Research Director,Bachelor's,15873,5,2,5,1,2,Yes,20,No
110,30,Female,Research & Development,Research Scientist,Master's,4765,10,0,1,1,1,No,24,No
111,55,Female,Sales,Sales Executive,Master's,10157,19,10,16,3,2,No,17,No
112,45,Male,Research & Development,Research Scientist,Bachelor's,3880,8,1,3,2,3,No,3,No
113,29,Female,IT,Software Engineer,Bachelor's,12110,7,0,0,3,2,No,15,No
114,57,Male,Research & Development,Laboratory Technician,Master's,7568,12,4,11,1,2,No,30,No
115,33,Male,Human Resources,Manager,Bachelor's,11977,12,0,0,4,3,No,28,No
116,45,Male,Research & Development,Research Scientist,PhD,6786,20,3,9,3,2,Yes,5,No
117,30,Male,IT,Software Engineer,Bachelor's,4903,10,1,4,2,2,No,12,No
118,37,Female,Research & Development,Research Scientist,Bachelor's,15487,7,1,6,4,4,No,16,Yes
119,48,Female,Research & Development,Laboratory Technician,PhD,7584,27,4,14,2,4,Yes,4,No
120,30,Female,Finance,Financial Analyst,PhD,10713,5,0,0,2,4,Yes,18,No
121,32,Male,Human Resources,Manager,Master's,13796,6,2,4,2,3,No,19,No
122,24,Male,Sales,Sales Executive,Master's,9766,0,0,0,1,1,Yes,23,Yes
123,40,Male,Sales,Sales Representative,PhD,6278,21,10,10,1,2,Yes,28,No
124,39,Male,Research & Development,Laboratory Technician,Bachelor's,9924,4,2,2,2,4,No,2,No
125,35,Female,Human Resources,HR Specialist,Master's,7679,11,7,10,2,1,No,21,No
126,49,Male,Finance,Accountant,Bachelor's,8155,31,4,11,4,2,No,14,No
127,58,Male,Sales,Sales Executive,High School,4933,21,4,20,4,4,No,13,No
128,51,Female,Research & Development,Laboratory Technician,Master's,17636,31,8,10,4,2,No,11,No
129,52,Female,Sales,Sales Representative,High School,16927,14,5,5,4,1,No,18,No
130,53,Female,IT,Software Engineer,Master's,3417,12,1,3,3,2,No,26,No
131,60,Female,Sales,Sales Executive,Master's,4425,10,2,2,1,2,No,9,No
132,27,Male,Research & Development,Laboratory Technician,Bachelor's,14153,3,3,3,2,2,No,3,No
133,32,Female,Sales,Sales Representative,Bachelor's,4060,6,0,3,1,3,Yes,23,Yes
134,52,Male,Finance,Accountant,High School,3161,17,1,5,1,4,No,27,No
135,35,Male,Sales,Sales Representative,Master's,11594,0,0,0,4,1,No,26,No
136,40,Female,Human Resources,HR Specialist,Bachelor's,7203,17,2,16,1,4,Yes,2,No
137,32,Female,Finance,Accountant,Master's,3029,2,0,0,4,1,No,3,No
138,34,Female,Sales,Sales Representative,Master's,13032,1,0,0,1,2,No,30,No
139,40,Female,Research & Development,Research Scientist,Master's,15625,1,0,0,1,3,No,28,Yes
140,43,Male,Research & Development,Research Scientist,Bachelor's,5581,14,10,14,3,2,Yes,10,No
141,32,Male,Research & Development,Research Director,Master's,13052,0,0,0,4,2,Yes,25,No
142,48,Female,Research & Development,Research Scientist,Bachelor's,3119,14,5,14,3,1,Yes,14,Yes
143,55,Female,Sales,Sales Executive,Bachelor's,7678,5,4,4,1,1,No,14,No
144,54,Male,IT,IT Manager,Master's,17898,24,8,17,3,4,No,18,No
145,36,Male,Sales,Sales Executive,Bachelor's,9675,17,6,9,2,1,Yes,8,No
146,21,Female,Sales,Sales Representative,Master's,13166,2,1,2,2,2,No,17,No
147,24,Female,Sales,Sales Executive,Master's,5572,0,0,0,3,3,No,21,Yes
148,26,Male,Research & Development,Laboratory Technician,Bachelor's,10348,8,0,0,1,4,No,21,Yes
149,24,Male,Research & Development,Laboratory Technician,Master's,6053,5,1,2,2,1,No,19,Yes
150,41,Female,Research & Development,Research Scientist,Bachelor's,13839,14,0,0,2,3,No,19,No
151,58,Male,Research & Development,Research Director,Bachelor's,13707,25,2,10,2,2,No,14,No
152,48,Male,Research & Development,Laboratory Technician,Master's,6899,20,4,11,1,3,No,15,No
153,41,Female,Human Resources,Manager,Master's,6931,22,6,10,3,1,No,25,Yes
154,39,Male,IT,Software Engineer,Master's,3463,1,0,1,4,1,No,27,No
155,38,Male,Research & Development,Laboratory Technician,Master's,13328,1,0,0,4,2,Yes,11,Yes
156,56,Female,Research & Development,Research Director,High School,4298,19,1,3,2,1,No,13,Yes
157,42,Female,Research & Development,Research Scientist,Bachelor's,13117,8,7,8,1,1,No,24,No
158,56,Male,Research & Development,Research Director,Bachelor's,7510,9,1,8,4,2,No,18,No
159,41,Male,IT,IT Manager,Bachelor's,13158,16,4,15,4,3,No,10,No
160,55,Male,Research & Development,Laboratory Technician,High School,14598,6,1,4,2,2,No,9,No
161,58,Male,Finance,Finance Manager,Bachelor's,7601,31,4,6,4,4,No,4,No
162,24,Female,Research & Development,Research Director,Bachelor's,17663,4,0,0,2,4,No,27,No
163,23,Female,Research & Development,Laboratory Technician,Bachelor's,13466,5,1,5,4,2,No,3,No
164,56,Female,Research & Development,Laboratory Technician,Bachelor's,13026,4,4,4,3,1,Yes,10,No
165,36,Female,Sales,Manager,Bachelor's,9270,12,3,6,4,2,No,8,No
166,42,Female,Research & Development,Laboratory Technician,Master's,7395,17,6,7,1,1,No,6,Yes
167,22,Male,Research & Development,Laboratory Technician,Master's,2840,0,0,0,2,3,Yes,1,Yes
168,26,Female,IT,Software Engineer,Master's,12882,2,0,1,2,4,No,10,No
169,50,Male,Finance,Accountant,Bachelor's,5638,23,5,9,4,3,No,9,No
170,34,Male,Human Resources,HR Specialist,Bachelor's,11484,9,1,8,1,2,No,14,No
171,55,Female,Sales,Manager,Bachelor's,8272,5,0,0,1,2,Yes,2,No
172,51,Male,Research & Development,Research Scientist,Bachelor's,5536,13,1,3,4,3,No,29,No
173,25,Male,Sales,Manager,Master's,8988,2,1,1,2,2,No,29,No
174,41,Male,Sales,Manager,Bachelor's,17939,8,2,2,4,4,No,4,No
175,56,Female,Sales,Sales Executive,PhD,12831,34,2,6,2,2,Yes,29,No
176,58,Male,Sales,Sales Executive,High School,10138,14,1,4,2,4,No,1,No
177,57,Female,IT,Software Engineer,Bachelor's,13734,31,0,3,1,4,No,21,Yes
178,38,Female,Sales,Sales Representative,Master's,14496,7,0,2,4,1,No,21,No
179,21,Female,Finance,Financial Analyst,Bachelor's,8672,1,1,1,1,2,No,28,No
180,42,Male,Research & Development,Research Director,High School,2578,7,0,0,1,4,No,13,No
181,28,Male,Research & Development,Research Scientist,PhD,5956,8,2,6,1,3,Yes,24,No
182,56,Female,Research & Development,Laboratory Technician,High School,7830,10,2,3,3,3,Yes,11,No
183,58,Female,Finance,Finance Manager,Master's,3746,31,0,15,4,4,Yes,9,Yes
184,45,Female,Sales,Sales Representative,Bachelor's,4696,25,9,17,4,4,No,2,No
185,31,Male,Research & Development,Laboratory Technician,Bachelor's,11627,9,0,0,2,3,Yes,8,No
186,40,Female,Sales,Sales Representative,Bachelor's,3185,20,2,11,1,4,No,26,No
187,38,Female,Sales,Manager,High School,16715,20,4,12,2,4,No,23,No
188,42,Male,Human Resources,HR Executive,Bachelor's,17376,12,1,1,1,3,Yes,18,Yes
189,57,Female,Research & Development,Laboratory Technician,Master's,4153,32,2,2,3,3,No,7,No
190,36,Male,Sales,Sales Representative,Bachelor's,8495,7,0,0,1,3,No,8,No
191,41,Female,Sales,Sales Representative,Bachelor's,11614,13,2,6,2,1,No,9,No
192,34,Male,Finance,Financial Analyst,Bachelor's,10104,13,1,8,1,4,No,19,No
193,24,Female,IT,IT Manager,Master's,3513,3,1,1,3,2,No,21,Yes
194,40,Female,Research & Development,Research Scientist,Bachelor's,5792,16,3,6,2,3,Yes,16,No
195,50,Female,Research & Development,Laboratory Technician,Bachelor's,15193,17,2,16,4,1,No,26,No
196,56,Female,Research & Development,Research Scientist,Master's,13220,29,6,16,2,3,Yes,27,No
197,53,Male,IT,IT Support,Master's,3159,16,3,5,4,3,Yes,6,No
198,30,Male,Research & Development,Research Scientist,Master's,7568,1,0,0,3,1,No,22,No
199,55,Female,Finance,Accountant,Master's,16160,25,4,18,4,1,No,21,No
200,59,Female,Research & Development,Laboratory Technician,Bachelor's,5339,34,0,0,1,4,No,22,Yes
201,56,Female,Human Resources,HR Executive,Master's,13153,20,9,11,2,4,Yes,23,No
202,45,Female,Research & Development,Research Director,Master's,11532,12,3,5,1,4,Yes,20,Yes
203,47,Female,Research & Development,Research Scientist,Master's,3171,6,1,5,4,3,No,15,Yes
204,57,Male,Research & Development,Laboratory Technician,Bachelor's,17990,20,4,17,3,2,Yes,17,No
205,53,Female,IT,IT Support,High School,17852,3,1,2,3,2,No,17,No
206,59,Female,Human Resources,HR Executive,Bachelor's,4133,21,0,16,2,2,No,1,No
207,30,Male,Finance,Finance Manager,Bachelor's,15222,1,1,1,1,3,No,24,No
208,52,Male,Research & Development,Research Director,Bachelor's,11869,6,3,4,3,4,No,22,No
209,47,Male,IT,Software Engineer,High School,4605,28,7,8,4,2,No,2,No
210,55,Male,Research & Development,Laboratory Technician,Bachelor's,9244,5,2,3,3,2,Yes,5,No
211,56,Female,Sales,Sales Executive,Bachelor's,7500,20,6,7,3,3,No,8,No
212,36,Male,Finance,Accountant,Bachelor's,2758,2,0,0,3,2,Yes,6,Yes
213,57,Male,Research & Development,Research Director,Bachelor's,9009,3,1,1,2,3,No,12,No
214,41,Female,Research & Development,Research Director,High School,3423,12,1,1,2,2,No,23,No
215,40,Male,Research & Development,Research Scientist,Master's,13761,1,1,1,1,3,Yes,29,No
216,31,Female,Human Resources,HR Executive,Master's,16175,1,0,0,4,1,No,2,No
217,48,Male,Sales,Sales Executive,Bachelor's,11672,23,0,0,3,4,No,19,No
218,37,Male,Research & Development,Laboratory Technician,Master's,13601,4,2,3,3,3,No,20,No
219,59,Female,Human Resources,Manager,Master's,8279,5,0,0,4,1,No,23,No
220,35,Female,Research & Development,Laboratory Technician,Bachelor's,14392,2,0,0,1,2,No,4,No
221,38,Female,Sales,Manager,Bachelor's,7241,18,0,0,3,3,No,27,No
222,55,Female,IT,Software Engineer,PhD,11287,18,10,13,1,1,No,14,Yes
223,23,Male,Human Resources,HR Specialist,Bachelor's,10380,1,0,0,4,4,No,14,No
224,34,Female,Research & Development,Research Director,Bachelor's,5223,5,4,4,4,1,Yes,1,No
225,34,Female,Sales,Sales Executive,Bachelor's,10759,8,2,3,4,4,No,29,No
226,50,Female,Research & Development,Research Scientist,Master's,15281,11,2,2,2,1,No,5,No
227,29,Male,Sales,Sales Executive,Master's,11668,8,2,3,2,4,No,8,No
228,35,Female,IT,Software Engineer,Bachelor's,15607,8,1,2,1,2,No,19,No
229,48,Female,Sales,Manager,Bachelor's,16911,27,1,3,1,3,No,2,No
230,58,Male,Research & Development,Research Director,Bachelor's,14485,5,0,5,1,1,No,26,No
231,55,Male,IT,IT Support,High School,16663,13,0,2,4,1,No,6,No
232,46,Female,Sales,Sales Executive,Bachelor's,4468,6,4,4,4,2,No,22,No
